,Year,days
0,1855,118
1,1856,151
2,1857,121
3,1858,96
4,1859,110
5,1860,117
6,1861,132
7,1862,104
8,1863,125
9,1864,118
10,1865,125
11,1866,123
12,1867,110
13,1868,127
14,1869,131
15,1870,99
16,1871,126
17,1872,144
18,1873,136
19,1874,126
20,1875,91
21,1876,130
22,1877,62
23,1878,112
24,1879,99
25,1880,161
26,1881,78
27,1882,124
28,1883,119
29,1884,124
30,1885,128
31,1886,131
32,1887,113
33,1888,88
34,1889,75
35,1890,111
36,1891,97
37,1892,112
38,1893,101
39,1894,101
40,1895,91
41,1896,110
42,1897,100
43,1898,130
44,1899,111
45,1900,107
46,1901,105
47,1902,89
48,1903,126
49,1904,108
50,1905,97
51,1906,94
52,1907,83
53,1908,106
54,1909,98
55,1910,101
56,1911,108
57,1912,99
58,1913,88
59,1914,115
60,1915,102
61,1916,116
62,1917,115
63,1918,82
64,1919,110
65,1920,81
66,1921,96
67,1922,125
68,1923,104
69,1924,105
70,1925,124
71,1926,103
72,1927,106
73,1928,96
74,1929,107
75,1930,98
76,1931,65
77,1932,115
78,1933,91
79,1934,94
80,1935,101
81,1936,121
82,1937,105
83,1938,97
84,1939,105
85,1940,96
86,1941,82
87,1942,116
88,1943,114
89,1944,92
90,1945,98
91,1946,101
92,1947,104
93,1948,96
94,1949,109
95,1950,122
96,1951,114
97,1952,81
98,1953,85
99,1954,92
100,1955,114
101,1956,111
102,1957,95
103,1958,126
104,1959,105
105,1960,108
106,1961,117
107,1962,112
108,1963,113
109,1964,120
110,1965,65
111,1966,98
112,1967,91
113,1968,108
114,1969,113
115,1970,110
116,1971,105
117,1972,97
118,1973,105
119,1974,107
120,1975,88
121,1976,115
122,1977,123
123,1978,118
124,1979,99
125,1980,93
126,1981,96
127,1982,54
128,1983,111
129,1984,85
130,1985,107
131,1986,89
132,1987,87
133,1988,97
134,1989,93
135,1990,88
136,1991,99
137,1992,108
138,1993,94
139,1994,74
140,1995,119
141,1996,102
142,1997,47
143,1998,82
144,1999,53
145,2000,115
146,2001,21
147,2002,89
148,2003,80
149,2004,101
150,2005,95
151,2006,66
152,2007,106
153,2008,97
154,2009,87
155,2010,109
156,2011,57
157,2012,87
158,2013,117
159,2014,91
160,2015,62
161,2016,65
162,2017,94
163,2018,86
164,2019,70
165,2020,76
166,2021,85
